id,jobId,taUserId,status,appliedDate
"APP200002","JOB100001","TA231226510","REJECTED","2026-03-21"
"APP200003","JOB100002","TA231267380","ACCEPTED","2026-03-10"
"APP200004","JOB100003","TA231226945","ACCEPTED","2026-03-15"
"APP200005","JOB100003","TA231225546","PENDING","2026-03-22"
"APP200006","JOB100004","TA231267380","ACCEPTED","2026-03-18"
"APPEE754D70","JOB100001","TA231226945","PENDING","2026-03-30"
"APP200001","JOB100001","TA231226244","ACCEPTED","2026-03-20"
"APP200007","JOB100016","TA2023133104","REJECTED","2026-02-17"
"APP200008","JOB100052","TA2023913373","PENDING","2026-01-30"
"APP200009","JOB100039","TA2023929538","REJECTED","2026-05-16"
"APP200010","JOB100095","TA2023768854","ACCEPTED","2026-04-11"
"APP200011","JOB100089","TA2024589710","ACCEPTED","2026-04-28"
"APP200012","JOB100093","TA2023475190","REJECTED","2026-03-18"
"APP200013","JOB100092","TA2024560767","PENDING","2026-02-04"
"APP200014","JOB100046","TA2023360735","PENDING","2026-01-30"
"APP200015","JOB100029","TA2024227324","ACCEPTED","2026-05-11"
"APP200016","JOB100055","TA2024799233","ACCEPTED","2026-04-09"
"APP200017","JOB100063","TA2023333752","ACCEPTED","2026-02-14"
"APP200018","JOB100083","TA2024678478","ACCEPTED","2026-02-05"
"APP200019","JOB100029","TA2023768854","REJECTED","2026-01-14"
"APP200020","JOB100051","TA231226510","ACCEPTED","2026-02-19"
"APP200021","JOB100122","TA2023389666","REJECTED","2026-05-10"
"APP200022","JOB100097","TA2023388375","ACCEPTED","2026-05-06"
"APP200023","JOB100061","TA2023994253","REJECTED","2026-05-06"
"APP200024","JOB100027","TA2024899550","ACCEPTED","2026-02-26"
"APP200025","JOB100043","TA2023343962","PENDING","2026-03-15"
"APP200026","JOB100027","TA2024684929","ACCEPTED","2026-05-07"
"APP200027","JOB100082","TA2023714953","PENDING","2026-01-30"
"APP200028","JOB100040","TA2024901535","ACCEPTED","2026-04-04"
"APP200029","JOB100081","TA2023201514","PENDING","2026-04-23"
"APP200030","JOB100081","TA2023148458","REJECTED","2026-01-27"
"APP200031","JOB100111","TA2023405420","REJECTED","2026-03-18"
"APP200032","JOB100006","TA2023749641","PENDING","2026-01-23"
"APP200033","JOB100066","TA2023360735","REJECTED","2026-03-02"
"APP200034","JOB100032","TA2023720556","ACCEPTED","2026-03-31"
"APP200035","JOB100104","TA2024301332","ACCEPTED","2026-02-12"
"APP200036","JOB100092","TA2023171849","REJECTED","2026-02-22"
"APP200037","JOB100121","TA2023944151","ACCEPTED","2026-05-17"
