id,moduleCode,moduleName,description,requiredSkills,hoursPerWeek,positions,deadline,postedByMoId,status
"JOB100001","CS101","Intro Programming","Support lab and marking","Java","6","2","2026-12-15","MO001","OPEN"
"JOB100002","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","8","1","2026-10-01","MO001","FILLED"
"JOB100003","MA201","Calculus Tutoring","Help first-year students","Calculus;Communication","4","2","2026-09-30","MO002","OPEN"
"JOB100004","AI301","Machine Learning Lab","Lab supervision and office hours","Python;ML","10","1","2026-05-30","MO002","FILLED"
"JOB100005","SE401","Software Testing","Assist with test design","Testing;JUnit","5","1","2026-04-15","MO003","CLOSED"
"JOB100006","DB202","Database Systems","Database lab assistant","SQL;DB","7","1","2025-12-31","MO003","OPEN"
"JOB100007","MA501","Probability Theory","Tutorial support","Statistics;Calculus","9","3","2027-02-28","MO006","OPEN"
"JOB100008","DB202","Database Systems","Database lab assistant","SQL;DB","7","3","2026-09-07","MO005","FILLED"
"JOB100009","SE201","Software Engineering","Support project teams","Java;Testing","8","2","2026-10-31","MO006","OPEN"
"JOB100010","IS201","Info Systems","Tutorial support","SQL;DB","12","3","2026-11-26","MO003","OPEN"
"JOB100011","MA101","Calculus I","Tutorial support for first-years","Calculus;Tutor","10","4","2027-03-06","MO003","FILLED"
"JOB100012","MA301","Statistics","Assignment and lab support","Statistics;R","15","1","2026-10-26","MO003","OPEN"
"JOB100013","WD201","Full Stack Dev","Support project work","JavaScript;Node.js;React","7","2","2027-02-01","MO005","FILLED"
"JOB100014","DB301","Distributed Systems","Lab support","SQL;Java","6","1","2026-10-18","MO005","CLOSED"
"JOB100015","AI501","Computer Vision","Lab supervision","Python;TensorFlow","7","2","2027-02-27","MO001","OPEN"
"JOB100016","CS601","Software Architecture","Support design sessions","Java;Communication","5","2","2027-01-28","MO001","OPEN"
"JOB100017","MA401","Numerical Methods","Support computational labs","MATLAB;Statistics","11","2","2027-01-30","MO003","OPEN"
"JOB100018","SE301","Software Testing","Test design assistance","Testing;JUnit","5","2","2026-07-01","MO005","OPEN"
"JOB100019","CS201","Algorithms","Help with assignments and lab","Algorithms;C","10","2","2026-08-29","MO001","CLOSED"
"JOB100020","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","15","3","2026-09-04","MO001","FILLED"
"JOB100021","CS101","Intro Programming","Support lab sessions and marking","Java","9","3","2026-07-25","MO004","OPEN"
"JOB100022","IS201","Info Systems","Tutorial support","SQL;DB","12","4","2026-08-08","MO003","CLOSED"
"JOB100023","AI201","Intro to ML","Lab and tutorial support","Python;ML","6","4","2026-11-17","MO006","CLOSED"
"JOB100024","DB202","Database Systems","Database lab assistant","SQL;DB","15","3","2026-06-08","MO003","FILLED"
"JOB100025","AI201","Intro to ML","Lab and tutorial support","Python;ML","10","3","2026-12-25","MO001","OPEN"
"JOB100026","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","6","4","2026-09-03","MO003","FILLED"
