id,recipientUserId,role,type,message,relatedId,createdAt,readStatus
"NTFB02C5CD6","TA231226945","TA","REJECT","Your application for CS101 - Intro Programming has been rejected.","APPEE754D70","2026-05-19T21:44:46.155675100","false"
"NTF47988081","MO003","MO","SYSTEM_ALERT","Anomaly Alert: Job 'SE401' is closed/expired but not fully staffed (0/1).","ANOMALY_UNFILLED:JOB100005","2026-05-21T10:52:39.838443800","false"
"NTFBB4F0A12","MO003","MO","SYSTEM_ALERT","Anomaly Alert: Job 'DB202' is closed/expired but not fully staffed (0/1).","ANOMALY_UNFILLED:JOB100006","2026-05-21T10:52:39.842466500","false"
"NTF051243B1","TA231267380","TA","OVERLOAD_ALERT","Overload alert: you are assigned 18h/week, exceeding your available 15h/week.","OVERLOAD:TA231267380","2026-05-12T15:44:26.453993600","true"
"NTFFEA87188","MO001","MO","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.049036800","false"
"NTF5353019A","MO003","MO","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.052978700","false"
"NTFFB21B01A","TA2023213483","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.054002400","false"
"NTF96F65E93","TA231226244","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.056008600","false"
"NTF83185282","TA231226510","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.058141700","false"
"NTF76FF7C9A","TA231226945","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.059982100","false"
"NTF41028F8E","TA231267380","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.061537400","false"
"NTF7025EE07","TA231225546","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.063109","false"
"NTF496806BE","TA5B35AE3C","TA","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.064689800","false"
"NTFC9A2AB40","ADMIN001","ADMIN","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.045491600","true"
"NTF068D7B56","MO002","MO","SYSTEM_ALERT","Test","ADMIN_BROADCAST:1779332144044","2026-05-21T10:55:44.050545500","true"
"NTF0F4CBF7A","TA2023213483","TA","APPLY","Application submitted for CS101 - Intro Programming.","APPCF20165A","2026-05-21T13:28:26.248092900","false"
"NTFA72C43E6","MO001","MO","APPLY","New application received from TA TA2023213483 for CS101.","APPCF20165A","2026-05-21T13:28:26.250416200","false"
"NTF0B181FBC","TA2023213483","TA","REJECT","Your application for CS101 - Intro Programming has been rejected.","APPCF20165A","2026-05-21T13:46:00.949028300","false"
"NTF29656305","MO001","MO","REJECT","You rejected TA TA2023213483 for CS101.","APPCF20165A","2026-05-21T13:46:00.954524","false"
"NTFE1B4D22E","TA231226945","TA","JOB_CLOSE","Job CS101 - Intro Programming has been closed and no longer accepts applications.","JOB100001","2026-05-21T14:11:28.278131400","false"
"NTFA64FD771","TA231226510","TA","JOB_CLOSE","Job CS101 - Intro Programming has been closed and no longer accepts applications.","JOB100001","2026-05-21T14:11:28.281178600","false"
"NTF797BE0F4","TA231226244","TA","JOB_CLOSE","Job CS101 - Intro Programming has been closed and no longer accepts applications.","JOB100001","2026-05-21T14:11:28.283614200","false"
"NTF93D84419","TA2023213483","TA","JOB_CLOSE","Job CS101 - Intro Programming has been closed and no longer accepts applications.","JOB100001","2026-05-21T14:11:28.285811200","false"
"NTF0BDE97D8","MO001","MO","JOB_CLOSE","You successfully closed job CS101.","JOB100001","2026-05-21T14:11:28.286814800","false"
"NTF3095D3F9","TA231226945","TA","JOB_REOPEN","Job CS101 - Intro Programming has reopened and now accepts applications again.","JOB100001","2026-05-21T14:11:36.317590600","false"
"NTF2DCA896D","TA231226510","TA","JOB_REOPEN","Job CS101 - Intro Programming has reopened and now accepts applications again.","JOB100001","2026-05-21T14:11:36.320100700","false"
"NTFE6B4CE08","TA231226244","TA","JOB_REOPEN","Job CS101 - Intro Programming has reopened and now accepts applications again.","JOB100001","2026-05-21T14:11:36.326098600","false"
"NTF1DE6CBCE","TA2023213483","TA","JOB_REOPEN","Job CS101 - Intro Programming has reopened and now accepts applications again.","JOB100001","2026-05-21T14:11:36.328591100","false"
